feature,importance,kind
NTO_015_030_NAT_C_20231101,0.0006235617954371895,soil
Phos_100_200_NAT_C_20140801,0.0006226347091172579,soil
CFP_005_015_TRN_N_20221006_CF_Class2,0.0006131679331976813,soil
tasmax_m04,0.0006118633574239844,climate
DES_000_200_TRN_C_20190901,0.0006089098816630076,soil
CFP_005_015_TRN_N_20221006_CF_Class5,0.0006046219420764903,soil
tasmax_m10,0.0006034442665717935,climate
hurs_m06,0.0005945902585556195,climate
tasmax_m02,0.0005914667603873281,climate
DER_000_999_NAT_C_20150601,0.0005752730661326698,soil
hursmax_m09,0.0005560665804402743,climate
hursmax_m08,0.0005446315706093241,climate
tasmax_m12,0.0005430934798612467,climate
CFP_005_015_TRN_N_20221006_CF_Class4,0.0005246029420971637,soil
NTO_030_060_NAT_C_20231101,0.000511454693613042,soil
CEC_005_015_TRN_N_20220826,0.000504165297088644,soil
CFP_000_005_TRN_N_20221006_CF_Class3,0.0004968763196449728,soil
hursmax_m07,0.000490900458354826,climate
hursmax_m05,0.0004872462000891691,climate
CEC_100_200_TRN_N_20220826,0.00048242910204837185,soil
CFP_015_030_TRN_N_20221006_CF_Class3,0.0004776813487991294,soil
CFP_005_015_TRN_N_20221006_CF_Class3,0.0004726286368073256,soil
hursmax_m06,0.00046250600745683426,climate
CFP_015_030_TRN_N_20221006_CF_Class1,0.00045725371489341765,soil
CFP_005_015_TRN_N_20221006_CF_Class1,0.00042797056834892295,soil
CFP_000_005_TRN_N_20221006_CF_Class4,0.00042364421128399967,soil
CFP_000_005_TRN_N_20221006_CF_Class1,0.0004186108741315649,soil
CEC_015_030_TRN_N_20220826,0.0004120397403599781,soil
CFP_015_030_TRN_N_20221006_CF_Class4,0.0004020137768836719,soil
CEC_030_060_TRN_N_20220826,0.00039279303911380736,soil
AWC_100_200_NAT_C_20140801,0.0003921966593107933,soil
AWC_000_005_NAT_C_20140801,0.0003746548157653819,soil
CFP_005_015_TRN_N_20221006_CF_Class6,0.0003652659994851011,soil
