n,r2,pearson_r,rmse,mae,mape,bias,pbias,nse,willmott_d,explained_variance,obs_mean,pred_mean,obs_sd,pred_sd,scheme,fold,n_train,n_test,seconds
417384,0.9774887679527684,0.9888046553461584,0.42969358104706046,0.2492098695123947,5.674451340277223,0.0011143372466171956,0.02613930928761584,0.9774887679527684,0.9941867063606903,0.9774889193489168,4.263070742826173,4.2641850800727905,2.8639091281122475,2.786952942366179,kfold_random,0,1669536.0,417384,947.0
417384,0.9777571313501825,0.9889434868022425,0.4269265486503898,0.24779850120609942,5.648763387870121,0.0014481147148895093,0.033968838877769296,0.9777571313501825,0.994256048010049,0.9777573872620379,4.263068043333148,4.264516158048037,2.8625808647338573,2.785503714499123,kfold_random,1,1669536.0,417384,982.8
417384,0.9773135332804038,0.9887207606701401,0.4293414494839993,0.24837898711406317,5.665106162124244,-0.0004121816671194171,-0.009690924858093171,0.9773135332804038,0.994138891259852,0.9773135541896594,4.253274823147476,4.252862641480356,2.8504891152170564,2.7728022942066213,kfold_random,2,1669536.0,417384,1075.1
417384,0.9775437557779281,0.988834044434174,0.42704433707647993,0.24789036712740703,5.666226856414943,0.0006523298346083268,0.015343620750151079,0.9775437557779281,0.9942005005092674,0.9775438081772506,4.2514726167348975,4.252124946569506,2.8497345367966815,2.7729501544173427,kfold_random,3,1669536.0,417384,1049.8
417384,0.9775650980097546,0.988836208365142,0.42954841394305654,0.2494779214690093,5.6862273254964935,0.0013016794177705719,0.03050350329509816,0.9775650980097546,0.9942093188290264,0.9775653040291046,4.267311217265162,4.268612896682932,2.867807733074165,2.7921351850627394,kfold_random,4,1669536.0,417384,1006.3
2086920,0.9775341301485476,0.9888279860210387,0.4285126923512738,0.24855112928579473,5.668155014436605,0.0008208559093532372,0.019270548870115728,0.9775341301485476,0.994198432151146,0.9775342125869785,4.259639488661371,4.260460344570724,2.858920447020658,2.7820879084275347,kfold_random,all,,2086920,
417390,0.9334564929920136,0.966158008858336,0.6844109433073847,0.4343674593735342,10.500130815925505,0.0028952801129606557,0.0666960489276696,0.9334564929920136,0.9825452190554822,0.9334576838307962,4.341006940456883,4.343902220569843,2.6531640391317133,2.5684196635949723,blockcv_space,0,1669530.0,417390,956.1
417360,0.9342013716407805,0.9671123261663935,0.6174913072155088,0.38591071591302484,11.473025153928102,0.05079766922912962,1.355049267740305,0.9342013716407805,0.982271272620327,0.9346466614085972,3.7487691730825676,3.7995668423116973,2.407256832110687,2.2662634181037022,blockcv_space,1,1669560.0,417360,1032.8
417390,0.9331375544139827,0.966396743628705,0.7874803628849073,0.4759584774542227,11.387480600394717,-0.013448636670106212,-0.3090169309770364,0.9331375544139827,0.9819252129831456,0.9331570555231528,4.352071139786708,4.338622503116602,3.045429876845929,2.8588274798046585,blockcv_space,2,1669530.0,417390,1014.0
417420,0.924738745124378,0.9624236244883413,0.676150576908619,0.4163765810203366,10.862649106609224,0.0677580323867608,1.658487099027563,0.924738745124378,0.9806606044484559,0.9254945438958778,4.08553267773322,4.153290710119981,2.464663850437006,2.440206095325784,blockcv_space,3,1669500.0,417420,1013.5
417360,0.9300135587321182,0.9654781973268852,0.9208554356328972,0.5182720022860509,10.642596136509924,-0.04926511736367828,-1.0326319918190363,0.9300135587321182,0.9807259248110995,0.9302138721504284,4.7708300492313,4.721564931867622,3.480843523827553,3.207589569647639,blockcv_space,4,1669560.0,417360,938.7
2086920,0.932097559422128,0.9656542442869916,0.7449802558413237,0.44617644878079304,10.973172340538179,0.01174856641944084,0.2758112852205934,0.932097559422128,0.9817793033213151,0.9321144469318264,4.259639488661371,4.271388055080812,2.858920447020658,2.7054639805606,blockcv_space,all,,2086920,
417384,0.9335961230261967,0.9666391593737147,0.7058921176578611,0.5222091024533642,18.101556967636505,0.07612474125749828,1.865640363637746,0.9335961230261967,0.9826522099835425,0.9343683917213623,4.080354538913671,4.156479280171169,2.739312720513562,2.661027825095771,groupcv_year,0,1669536.0,417384,919.9
417384,0.9269580121131393,0.9645378127533364,0.8085932431072744,0.5844430093517532,16.872574529626068,-0.05474353930497438,-1.2033536458635403,0.9269580121131393,0.9796453820198855,0.9272928064575006,4.549247803682,4.494504264377026,2.991877555257302,2.7208078224867744,groupcv_year,1,1669536.0,417384,1046.0
417384,0.9306329582546462,0.9660993475219626,0.7595440724776052,0.5476461602258703,17.82560017708334,-0.014622829935673182,-0.3364917309281071,0.9306329582546462,0.980780385880944,0.9306586687281164,4.3456728922700965,4.331050062334423,2.883874732616223,2.636556732228813,groupcv_year,2,1669536.0,417384,1033.9
417384,0.9360058188601232,0.9679336005230066,0.6858628187899306,0.5151537396937687,17.480547808787165,0.07995596592108599,1.9502737138820787,0.9360058188601232,0.983156132646018,0.9368755153447852,4.0997304815195,4.179686447440586,2.711234092331849,2.6121878687196425,groupcv_year,3,1669536.0,417384,1110.5
417384,0.9255719147530211,0.962633411600415,0.7997775995853857,0.5719385008570735,17.19511055767998,-0.06660936751773834,-1.5772281209286207,0.9255719147530211,0.9798666019256048,0.9260881753674073,4.223191726921589,4.15658235940385,2.931573673460523,2.7517396157009584,groupcv_year,4,1669536.0,417384,1052.6
2086920,0.9305293548852195,0.9650332431341384,0.7535337985257378,0.548278102516366,17.495078008162608,0.004020994084039675,0.09439752107527079,0.9305293548852195,0.981196727893533,0.9305313330511907,4.259639488661371,4.2636604827454105,2.858920447020658,2.680251012478066,groupcv_year,all,,2086920,
