comparison,median,mean,p05,p95,pct_within_5pct
"RF / OBS, mean_of_annual (the denominator swap)",1.0066400030387046,1.0161048150965335,0.8183702840331883,1.2279729319123949,55.94656839371245
"RF / OBS, eq1_of_mean",1.0092864341923105,1.0240166774612165,0.814018686716193,1.2529355307039,53.71758725445478
RF: mean_of_annual / eq1_of_mean (Jensen gap),1.0294738843321345,1.0850929527591826,1.0010721915523508,1.3359879720497363,59.306665064306905
OBS: mean_of_annual / eq1_of_mean (Jensen gap),1.0318983829757131,1.0938216554421707,1.0017882817171104,1.357629056411822,58.33384964393257
rebuild check vs Eq1_M_hist_1985-2014.tif,5.943670515762278e-07,1.195698026718294e-06,4.044941963599058e-08,4.365732516475872e-06,3.0516990136675304e-05
