n,r2,pearson_r,rmse,mae,bias,pbias,obs_mean,pred_mean,obs_sd,pred_sd,nrmse_pct,slope,intercept,ccc,nse,willmott_d,year
6956407,0.972657593927672,0.9862664131627406,0.5027609826783599,0.24236496910613017,0.01972329813485786,0.5160780954521633,3.821766183968191,3.841489482103049,3.0404873577962115,2.984546075651534,13.15519993837866,0.968120306569984,0.14156003244096788,0.9860752482554587,0.972657593927672,0.9929896694739623,1985
6956407,0.9688676990893392,0.9843994771077734,0.5165924797714782,0.24707280800508602,0.008720342399359132,0.2260717881956947,3.8573333138810466,3.8660536562804055,2.9278071696220356,2.8444369412009616,13.392477075093877,0.956368392917652,0.1770219939362511,0.9839843633900398,0.9688676990893392,0.9919292315517272,1986
6956407,0.967694138700574,0.9838206639344717,0.5054610240019515,0.25053548196992437,0.025643473708192265,0.6407688562639187,4.001985030563077,4.027628504271269,2.8122052247807994,2.735162423365007,12.63025773814135,0.956868043488312,0.19825691800687886,0.983399195825123,0.967694138700574,0.9916324795100526,1987
6956407,0.9676457952662987,0.9838052733619357,0.5276422391819232,0.2602305771557993,-0.0016867211253851642,-0.0393149816547314,4.29027575339635,4.2885890322709646,2.9334196040128333,2.8417474410359715,12.298562365466159,0.9530604193922722,0.1996970234305373,0.9833094551091158,0.9676457952662987,0.9915863168569741,1988
6956407,0.9674621501054212,0.9836728386910564,0.5164642215140942,0.2599135930817869,0.019074607241991177,0.4418339254555776,4.317144099408672,4.336218706650663,2.86316129910508,2.786974887701078,11.963098975196019,0.9574980983441302,0.20256144118924438,0.9832927953420535,0.9674621501054212,0.9915781183605011,1989
6956407,0.9668778901060672,0.9835780871998347,0.48293635250276723,0.2418175243085538,0.03719883365963425,0.9411332245079262,3.9525576922527357,3.98975652591237,2.653572151844308,2.659741796180136,12.218325198626529,0.9858649392721807,0.09306847666987439,0.9834790248432587,0.9668778901060672,0.991672566356345,1990
6956407,0.9681886128462945,0.9844425845482095,0.46169974954781495,0.2276936814553194,0.0555286244700379,1.5559260807377076,3.5688472066558745,3.6243758311259127,2.588620197365004,2.604969657628924,12.936943579056795,0.9906602231707369,0.08886086091795524,0.9841980606414256,0.9681886128462945,0.9920383831712651,1991
6956407,0.9634365233901876,0.9815919408261008,0.5119828778897106,0.2669511495625484,0.018305714200623702,0.41358644806338374,4.426091397902447,4.444397112103071,2.6775136616098916,2.645047910172928,11.567381508035341,0.9696898092253073,0.15246138885725674,0.9814956834024124,0.9634365233901876,0.9906637177887201,1992
6956407,0.961119432339002,0.980421946329075,0.5540871175646827,0.2917212678585116,0.023020637850958075,0.5355171556806919,4.298767575745862,4.32178821359682,2.810035163322485,2.737104808479657,12.889441166600992,0.9549765279319131,0.21656607972473751,0.9800493140144629,0.961119432339002,0.9899292464881623,1993
6956407,0.9627500808886488,0.9828270612828304,0.45913664149403294,0.2282214657531397,0.0760382981886258,2.402213347582452,3.1653432558415138,3.2413815540301396,2.378916979524079,2.449067725766368,14.505113802325063,1.0118091789311308,0.038658193301959236,0.9819251334364486,0.9627500808886488,0.9908821821374384,1994
