layer,fpi_source,averaging_order,mean,median,p05,p95,min,max
Eq1_M_histRF_mean_of_annual,random forest (Step_01),mean_y Eq1(FPI_y),56.822466245883376,31.87240745616519,9.253247060029288,177.78452554045515,1.9848051149350023,525.2097624626591
Eq1_M_histRF_eq1_of_mean,random forest (Step_01),Eq1(mean_y FPI_y),55.64422284488679,30.69873945577199,6.973497832954109,177.44184386663102,0.40169110060663893,525.1562874085372
Eq1_M_histOBS_mean_of_annual,observed DCCEEW FPI,mean_y Eq1(FPI_y),57.04062506635548,32.167609023587815,9.085787399109213,177.71415530841185,1.3058808066920753,617.7901103208842
Eq1_M_histOBS_eq1_of_mean,observed DCCEEW FPI,Eq1(mean_y FPI_y),55.77381605177705,30.835983740229857,6.8376923907949285,177.1756427587485,0.10561066528224321,617.5610869608923
