scenario,window,file,median,mean,min,max,n_nan_in_mask
SSP126,2035-2064,maxAbgMF_SSP126_2035-2064.nc,19.650163650512695,45.324835667507834,0.07656405121088028,2827.18115234375,0
SSP126,2070-2099,maxAbgMF_SSP126_2070-2099.nc,17.07571029663086,42.89612871117341,0.07589662075042725,2854.36767578125,0
SSP245,2035-2064,maxAbgMF_SSP245_2035-2064.nc,17.76654815673828,44.33821698142932,0.07336495071649551,2855.59228515625,0
SSP245,2070-2099,maxAbgMF_SSP245_2070-2099.nc,19.37787628173828,46.29492633949508,0.10780484229326248,2937.718505859375,0
SSP370,2035-2064,maxAbgMF_SSP370_2035-2064.nc,19.338380813598633,45.39378284494676,0.09345684200525284,2873.984619140625,0
SSP370,2070-2099,maxAbgMF_SSP370_2070-2099.nc,15.585955619812012,42.04215751260637,0.09604071825742722,2981.875732421875,0
SSP585,2035-2064,maxAbgMF_SSP585_2035-2064.nc,20.247760772705078,45.16800451383309,0.12743568420410156,2863.176025390625,0
SSP585,2070-2099,maxAbgMF_SSP585_2070-2099.nc,15.680989265441895,41.37003378166445,0.09016788005828857,2988.638427734375,0
