ssp,window,decile,baseline_lo,baseline_hi,baseline_median,pct_change_median,pct_change_p25,pct_change_p75,n
ssp126,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,4.271178270768641,-5.242131569067802,30.095440794999583,695641
ssp126,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-1.075348975239857,-8.002787702837194,8.287230777032372,695641
ssp126,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-2.0555316954630287,-8.733172624373013,6.395463760203952,695640
ssp126,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-3.99355754070268,-10.710741832087193,2.8120105473855013,695641
ssp126,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-5.796140857790393,-12.682299901763301,0.3911735663874567,695640
ssp126,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-4.343212662186482,-9.308194668930932,0.24823608436752262,695641
ssp126,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-3.731336567858347,-9.635335661865422,0.8377926046764615,695640
ssp126,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-3.554650991680791,-9.832335176715553,0.629938304467753,695641
ssp126,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-2.1419320168344522,-6.5132745362152145,0.6725394388056648,695641
ssp126,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-0.8215298679291936,-3.9270350522860866,1.5086272981836126,695641
ssp245,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,-10.332876801739467,-17.352121602607884,18.443434679276418,695641
ssp245,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-15.039503454593676,-21.440351998947207,-7.633077446638518,695641
ssp245,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-15.440570214325117,-22.802994337675912,-9.429926039133381,695640
ssp245,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-17.267884967020436,-25.880531039333157,-9.827305375751779,695641
ssp245,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-16.21986088431325,-26.232423997860874,-7.378689708033918,695640
ssp245,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-10.150480087375534,-18.60611845049633,-4.315710927476101,695641
ssp245,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-8.864804568937467,-17.70629491568148,-2.9005381790858937,695640
ssp245,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-7.111846051586337,-16.634099680639782,-0.9374344487719402,695641
ssp245,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-3.1605462115243323,-9.559645661060886,0.5302747969898173,695641
ssp245,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,0.048205155000994794,-3.9485926916147513,3.7956433375145395,695641
ssp370,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,2.3663700628267557,-9.347021713406015,40.005472104214476,695641
ssp370,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-4.598141867558545,-13.064240407254761,7.968261080984176,695641
ssp370,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-5.993164909345798,-13.82059816540694,5.114925608485493,695640
ssp370,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-8.61493272695536,-16.56405877560917,0.6839842546980033,695641
ssp370,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-9.308725521639296,-17.701448961537523,-0.5552703189613721,695640
ssp370,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-6.342889447134455,-12.891076787556262,-0.14476968452478658,695641
ssp370,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-4.397847504197505,-10.062985583708407,0.013917231487058685,695640
ssp370,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-3.8835049098631313,-9.627263791673277,-0.047901044527604277,695641
ssp370,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-3.1128509772809903,-7.1803169272354666,-0.17735467736502697,695641
ssp370,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-0.8259049420089827,-5.389678106980243,2.1235554773474528,695641
ssp585,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,11.914047919551495,-6.499474724185501,67.9794338701752,695641
ssp585,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,0.09157419630558614,-9.82644683143513,20.763571046802106,695641
ssp585,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-0.6781394721580463,-10.073838062200076,14.022926801294272,695640
ssp585,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-3.8841358480399726,-11.089283377124849,9.380823393041247,695641
ssp585,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-6.383310198866779,-12.799334178949481,2.8460307148924726,695640
ssp585,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-5.2018335707968015,-9.865973890287881,1.3938392657403817,695641
ssp585,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-3.76663397577223,-9.167389492102746,1.7939756471289723,695640
ssp585,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-4.625969789731324,-9.624845809017181,0.3332462815427983,695641
ssp585,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-5.236424526908633,-9.76636218682046,-0.9947410857549172,695641
ssp585,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-3.5396041428269753,-8.283665359333702,0.2371335475659586,695641
