ssp,window,decile,baseline_lo,baseline_hi,baseline_median,pct_change_median,pct_change_p25,pct_change_p75,n
ssp126,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,0.7644409805883094,-6.140140435739879,13.233740459509269,695641
ssp126,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-2.845096516310817,-8.892551196766663,3.723634994643382,695641
ssp126,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-3.5547813688144143,-9.683509638052232,3.221349553673658,695640
ssp126,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-4.87365841851906,-11.444985642026449,0.897186643084035,695641
ssp126,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-6.386009792770551,-13.158633440067444,-0.5464980308536681,695640
ssp126,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-4.634318325290669,-9.485312368117812,-0.25788867351292116,695641
ssp126,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-3.893195857385256,-9.732701690847794,0.6254214236447331,695640
ssp126,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-3.656425403218163,-9.860703383592526,0.4624249260107258,695641
ssp126,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-2.2351619311142454,-6.596021499166936,0.5336370749953312,695641
ssp126,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-0.8591844720482187,-3.9752060497873396,1.458471746355567,695641
ssp245,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,-12.557762558702516,-18.587164787271018,1.0371930192736971,695641
ssp245,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-16.323399489817433,-22.2624092172151,-10.589786081449212,695641
ssp245,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-16.749043258175856,-23.626998769884278,-11.494336896106521,695640
ssp245,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-18.275464476602533,-26.24364265302493,-11.164353916645162,695641
ssp245,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-16.955082987876928,-26.37298137642708,-8.264112815591936,695640
ssp245,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-10.581309195814189,-19.098301218606952,-4.844687017869393,695641
ssp245,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-9.078445571006023,-17.981062298398978,-3.186774345007723,695640
ssp245,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-7.272766206767013,-16.616613503583203,-1.1309580475965761,695641
ssp245,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-3.292815824895485,-9.660058792159585,0.36361837611581144,695641
ssp245,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-0.002101782740650595,-4.039762890102763,3.7016823659274887,695641
ssp370,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,-2.2355383687962305,-10.341204342167321,15.373622556311304,695641
ssp370,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-6.799916338434723,-13.827476045046179,1.7634540548256221,695641
ssp370,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-7.654455024847216,-14.583367802682561,1.1961743342449471,695640
ssp370,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-9.722306695178547,-17.210676610968726,-1.6800592184371839,695641
ssp370,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-9.978528746905067,-18.04286172379841,-1.8474476092621999,695640
ssp370,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-6.74308942878159,-13.16959894917613,-0.8167535592297295,695641
ssp370,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-4.702807574842613,-10.267879359868866,-0.47360731995704847,695640
ssp370,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-4.06327476014361,-9.713959050975712,-0.347425595392013,695641
ssp370,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-3.29051133661143,-7.319837156537886,-0.3551360930822169,695641
ssp370,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-0.8611221301736534,-5.473546363515572,2.0769986573128016,695641
ssp585,2035-2064,1,0.04908182844519615,5.208219909667969,3.503936290740967,5.116949315871272,-7.533787862475023,36.34873615966806,695641
ssp585,2035-2064,2,5.208219909667969,8.218885803222658,6.767612934112549,-2.734150751849709,-10.72697051610669,11.491470971970095,695641
ssp585,2035-2064,3,8.218885803222658,11.115600776672363,9.634724140167236,-3.2360378724916883,-11.091903711773195,8.14183765551563,695640
ssp585,2035-2064,4,11.115600776672363,14.980391120910648,12.947072982788086,-5.2753640391476315,-12.017168838854793,5.230857414856303,695641
ssp585,2035-2064,5,14.980391120910648,20.432025909423828,17.394859313964844,-7.299835519241634,-13.519695559771966,0.9604599655572171,695640
ssp585,2035-2064,6,20.432025909423828,29.005068969726548,24.3255672454834,-5.681520179748836,-10.211179823552904,0.3871786288581606,695641
ssp585,2035-2064,7,29.005068969726548,41.47614669799805,34.52810096740723,-4.05668346843632,-9.426771771439073,1.2625931438738962,695640
ssp585,2035-2064,8,41.47614669799805,62.677681732177774,50.174686431884766,-4.80208248641802,-9.721207129150523,0.09403757183192978,695641
ssp585,2035-2064,9,62.677681732177774,106.5702819824219,79.34489440917969,-5.351354020997717,-9.858790252146783,-1.1167160307269939,695641
ssp585,2035-2064,10,106.5702819824219,2216.8984385,168.1286163330078,-3.57624884858142,-8.324629873110768,0.2042207120531788,695641
ssp126,2070-2099,1,0.04908182844519615,5.208219909667969,3.503936290740967,-12.716131711080385,-18.498188226185725,-3.068731357495706,695641
ssp126,2070-2099,2,5.208219909667969,8.218885803222658,6.767612934112549,-16.58875757743555,-22.548881588643905,-10.656283913485217,695641
ssp126,2070-2099,3,8.218885803222658,11.115600776672363,9.634724140167236,-17.066764352049837,-25.265070299639145,-10.14650795630624,695640
ssp126,2070-2099,4,11.115600776672363,14.980391120910648,12.947072982788086,-19.88730014208703,-28.25103615879501,-12.7983065983446,695641
ssp126,2070-2099,5,14.980391120910648,20.432025909423828,17.394859313964844,-18.68240534295893,-28.17408465275312,-11.235927947383905,695640
ssp126,2070-2099,6,20.432025909423828,29.005068969726548,24.3255672454834,-14.351860240087355,-22.059839197699276,-8.880398198986363,695641
ssp126,2070-2099,7,29.005068969726548,41.47614669799805,34.52810096740723,-12.341307225093264,-21.545958405760487,-7.133472062523633,695640
ssp126,2070-2099,8,41.47614669799805,62.677681732177774,50.174686431884766,-11.034481573482129,-18.996720528902312,-6.018152757657457,695641
