ssp,period,future_mean,baseline_mean,change,pct_change
ssp126,2035-2064,4.194441318511963,4.259729446295274,-0.06528793182474946,-1.532677900037313
ssp245,2035-2064,4.09193754196167,4.259729446295274,-0.16779126793830584,-3.939012325870496
ssp370,2035-2064,4.168456554412842,4.259729446295274,-0.09127218616564133,-2.142675663240105
ssp585,2035-2064,4.184194087982178,4.259729446295274,-0.07553579163549944,-1.7732532684955757
ssp126,2070-2099,4.011910915374756,4.259729446295274,-0.24782177255836307,-5.817781990212922
ssp245,2070-2099,4.202510356903076,4.259729446295274,-0.05721700190432966,-1.3432074178817113
ssp370,2070-2099,3.8947548866271973,4.259729446295274,-0.36497442688244053,-8.568018966553431
ssp585,2070-2099,3.854079484939575,4.259729446295274,-0.40564986801312497,-9.522902173186667
