ssp,period,hist_window,n_cells,hist_mean,future_mean,change,pct_change,r2,pearson_r,rmse,mae,slope,intercept
ssp126,2035-2064,1990-2022,6956407,4.278877841283151,4.194441514470527,-0.08443632681261869,-1.9733287545151768,0.9597747288075673,0.9802018750346957,0.5305356560419734,0.3252738300106394,0.95937722457653,0.089383566798257
ssp245,2035-2064,1990-2022,6956407,4.278877841283151,4.09193817835697,-0.18693966292617525,-4.368894599480216,0.9514649924539165,0.9784969121702705,0.5827638952401677,0.3940408447129472,0.9883515618318819,-0.1370974189630877
ssp370,2035-2064,1990-2022,6956407,4.278877841283151,4.168457260129635,-0.11042058115351017,-2.580596718330178,0.9570400296162045,0.9791895223877656,0.5482732702380908,0.3460994644225807,0.9641397384336527,0.0430210974453926
ssp585,2035-2064,1990-2022,6956407,4.278877841283151,4.184193654659777,-0.09468418662336865,-2.2128275247739895,0.9548939423851724,0.9782119876540312,0.5618010181137945,0.3529083554788085,0.9305862924439879,0.20232858851938607
ssp126,2070-2099,1990-2022,6956407,4.278877841283151,4.011907673736913,-0.26697016754623254,-6.23925658663285,0.9472196685556726,0.9785020621477296,0.607716661429922,0.4189280345415687,0.9650969425419555,-0.11762424839596038
ssp245,2070-2099,1990-2022,6956407,4.278877841283151,4.202512444390947,-0.07636539689219861,-1.7847061712165666,0.9528763317188846,0.9767921829323353,0.5742283523538174,0.3674402207414357,0.9739789837858157,0.034975352794337077
ssp370,2070-2099,1990-2022,6956407,4.278877841283151,3.8947550194128353,-0.3841228218703101,-8.977185984704795,0.9210327364208429,0.9713972047424775,0.7433419304320471,0.5502891320699294,0.981146990631814,-0.3034530978432723
ssp585,2070-2099,1990-2022,6956407,4.278877841283151,3.854079578282151,-0.4247982630009945,-9.927795996008285,0.9125974872078708,0.9688404412153243,0.7820365408881114,0.5729979832032331,0.9544313082595703,-0.22981539765657844
